# assembly_accession	taxid	species_taxid	organism_name	ftp_path	superkingdom	phylum	class	order	family	genus	species	infraspecific_name
GCF_900128725.1	9	9	Buchnera aphidicola	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/725/GCF_900128725.1_BCifornacula_v1.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	strain=BCifornacula
GCF_000219105.1	35	35	Myxococcus macrosporus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus macrosporus	strain=HW-1
GCF_001027285.1	48	48	Archangium gephyra	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium	Archangium gephyra	strain=DSM 2261
GCF_001189295.1	52	52	Chondromyces crocatus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces crocatus	strain=Cm c5
GCF_002222655.1	63	63	Vitreoscilla filiformis	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla filiformis	strain=ATCC 15551
GCF_001315015.1	192	192	Azospirillum brasilense	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	strain=Sp 7
GCF_002024185.1	195	195	Campylobacter coli	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/185/GCF_002024185.1_ASM202418v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	strain=aerotolerant OR12
GCF_001298465.1	199	199	Campylobacter concisus	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	strain=ATCC 33237
GCF_002025665.1	253	253	Chryseobacterium indologenes	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/665/GCF_002025665.1_ASM202566v1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium indologenes	strain=AA5
GCF_000590475.1	316	316	Pseudomonas stutzeri	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/475/GCF_000590475.1_ASM59047v1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	strain=28a24
GCF_000219605.1	316	316	Pseudomonas stutzeri	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/605/GCF_000219605.1_ASM21960v1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	strain=CGMCC 1.1803
GCF_000018545.1	394	380	Sinorhizobium fredii NGR234	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/545/GCF_000018545.1_ASM1854v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	strain=NGR234
GCF_002005445.1	435	435	Acetobacter aceti	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/445/GCF_002005445.1_ASM200544v1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti	strain=TMW2.1153
GCF_000953655.1	449	449	Legionella hackeliae	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/655/GCF_000953655.1_LHA	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella hackeliae	strain=ATCC 35250
GCF_000953635.1	451	451	Tatlockia micdadei	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/635/GCF_000953635.1_LMI	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia micdadei	strain=ATCC 33218
GCF_000746645.1	470	470	Acinetobacter baumannii	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	strain=AB030
